feature,mean_shap
order_month,0.5086274
composite_risk_score,0.4431025
vendor_mode_delay_rate,0.3977088
country_delay_rate,0.26829126
order_dayofweek,0.21190071
freight_cost_per_kg,0.13747582
lead_time_days,0.12721547
log_weight,0.11056999
country_shipment_vol,0.10157895
freight_vs_vendor_avg,0.07699649
log_freight_cost,0.06967941
order_quarter,0.06507829
is_end_of_quarter,0.028207827
freight_vs_median_ratio,0.027613493
mode_delay_rate,0.02365021
vendor_shipment_count,0.017866248
vendor_delay_rate,0.016560923
mode_truck,0.013324103
is_high_volume_country,0.0053664246
vendor_avg_freight,0.0046009743
mode_air,0.0041305353
mode_ocean,0.0034960727
mode_air_charter,0.0017515916
vendor_freight_std,0.0010014822
is_weekend_order,0.0007506903
is_major_vendor,0.00034431097
is_high_cost_shipment,0.0
